origin,dest,distance,ori_lon,ori_lat,ori_alt,dest_lon,dest_lat,dest_alt,theory_dist,round,episoid,flat
JFK,PHX,2153,-73.778925,40.639751,13,-112.011583,33.434278,1135,3464177,3461956.45444644,3465365.23845045,3930870.47147726
EWR,LAX,2454,-74.168667,40.6925,18,-118.408075,33.942536,126,3948486,3945432.99382769,3949675.7387247,4466054.12214356
LGA,BWI,185,-73.872608,40.777245,22,-76.668333,39.175361,146,297665,297757.753176624,297748.949685496,324591.126060798
EWR,CLT,529,-74.168667,40.6925,18,-80.943139,35.214,748,851161,851243.363652104,850499.762874635,915147.595673968
EWR,IAD,212,-74.168667,40.6925,18,-77.455811,38.944533,313,341108,341800.732166571,341832.118595386,374434.181352662
LGA,MCO,950,-73.872608,40.777245,22,-81.308994,28.429394,96,1528550,1532675.69021753,1528742.302201,1586040.42699802
JFK,BUF,301,-73.778925,40.639751,13,-78.732167,42.940525,724,484309,484239.590691815,484455.203641656,529118.373469286
LGA,DEN,1620,-73.872608,40.777245,22,-104.673178,39.861656,5431,2606580,2602736.53902322,2606375.06262773,2935677.81932908
EWR,SNA,2434,-74.168667,40.6925,18,-117.868222,33.675667,56,3916306,3912180.32996143,3916295.83818749,4431036.35095697
JFK,LAS,2248,-73.778925,40.639751,13,-115.15225,36.080056,2141,3617032,3613346.97607074,3617712.56906691,4084521.420779
JFK,MSY,1182,-73.778925,40.639751,13,-90.258028,29.993389,4,1901838,1903617.63218865,1902458.72470978,2100020.97957255
LGA,PBI,1035,-73.872608,40.777245,22,-80.095589,26.683161,19,1665315,1670175.24104293,1665086.26796892,1705935.54510146
JFK,SLC,1990,-73.778925,40.639751,13,-111.977772,40.788389,4227,3201910,3197160.45910782,3201720.55552771,3586463.98845126
LGA,XNA,1147,-73.872608,40.777245,22,-94.3068111,36.2818694,1287,1845523,1843685.61996815,1845525.73039763,2089109.41803354
EWR,TPA,997,-74.168667,40.6925,18,-82.53325,27.975472,26,1604173,1609070.91502572,1605103.93263912,1674537.7472366
JFK,FLL,1069,-73.778925,40.639751,13,-80.15275,26.072583,9,1720021,1725217.01661046,1719859.13916518,1762402.72486048
EWR,RSW,1068,-74.168667,40.6925,18,-81.755167,26.536167,30,1718412,1723928.41840775,1719021.25662216,1776282.22562044
LGA,MKE,738,-73.872608,40.777245,22,-87.896583,42.947222,723,1187442,1185990.19738763,1187578.52029835,1328638.88159398
EWR,SEA,2402,-74.168667,40.6925,18,-122.309306,47.449,433,3864818,3859158.10556444,3864893.4792383,4222035.34048656
EWR,DFW,1372,-74.168667,40.6925,18,-97.037997,32.896828,607,2207548,2207260.86530914,2208445.8624951,2494891.40400358
EWR,DEN,1605,-74.168667,40.6925,18,-104.673178,39.861656,5431,2582445,2579311.62602973,2582913.60773724,2910351.00167358
JFK,ROC,264,-73.778925,40.639751,13,-77.672389,43.118866,559,424776,424529.601521222,424496.155124951,456137.642109264
LGA,RSW,1080,-73.872608,40.777245,22,-81.755167,26.536167,30,1737720,1743559.27161609,1738679.00384722,1799302.6191262
EWR,MCO,937,-74.168667,40.6925,18,-81.308994,28.429394,96,1507633,1512575.99733147,1508614.68736409,1562564.92622431
JFK,SYR,209,-73.778925,40.639751,13,-76.106311,43.111187,421,336281,335981.939883843,335644.773285909,350332.311227296
LGA,TPA,1010,-73.872608,40.777245,22,-82.53325,27.975472,26,1625090,1630122.29477743,1626185.83016474,1699170.22520611
JFK,SRQ,1041,-73.778925,40.639751,13,-82.554389,27.395444,30,1674969,1679878.4302081,1675694.81090764,1750252.25311388
JFK,SEA,2422,-73.778925,40.639751,13,-122.309306,47.449,433,3896998,3891015.60872595,3896791.87033173,4256386.6292399
LGA,CLT,544,-73.872608,40.777245,22,-80.943139,35.214,748,875296,875913.235327645,875201.263223118,943289.121055632
JFK,RDU,427,-73.778925,40.639751,13,-78.787472,35.877639,435,687043,687261.759906264,686452.899779809,729822.648757595
EWR,BOS,200,-74.168667,40.6925,18,-71.005181,42.364347,19,321800,322669.448658299,322741.1982847,350811.818376173
JFK,CLT,541,-73.778925,40.639751,13,-80.943139,35.214,748,870469,871501.661490086,870857.769804016,941316.674637317
LGA,CMH,479,-73.872608,40.777245,22,-82.891889,39.997972,815,770711,769297.756222125,770343.031328985,871803.059409329
EWR,JAX,820,-74.168667,40.6925,18,-81.687861,30.494056,30,1319380,1322430.36358867,1319613.33452319,1381989.04745045
JFK,MSP,1029,-73.778925,40.639751,13,-93.221767,44.881956,841,1655661,1653120.48018493,1655186.7878121,1833854.53504111
EWR,CHS,628,-74.168667,40.6925,18,-80.040528,32.898647,45,1010452,1012671.52846015,1010691.90679212,1056581.46869552
EWR,MEM,946,-74.168667,40.6925,18,-89.976667,35.042417,341,1522114,1521980.52596665,1522815.85793241,1711443.01806537
JFK,PIT,340,-73.778925,40.639751,13,-80.232872,40.491467,1204,547060,545906.107445377,546678.588590016,619071.627878876
JFK,SAN,2446,-73.778925,40.639751,13,-117.189667,32.733556,17,3935614,3932409.75232498,3936253.49744581,4460304.6264111
JFK,DCA,213,-73.778925,40.639751,13,-77.037722,38.852083,15,342717,342599.554404041,342610.54919176,374790.953665388
LGA,CLE,419,-73.872608,40.777245,22,-81.849794,41.411689,791,674171,672705.65137464,673652.315785444,759784.291027462
LGA,STL,888,-73.872608,40.777245,22,-90.370028,38.748697,618,1428792,1427443.78690527,1429260.52409429,1618349.97454811
JFK,JAX,828,-73.778925,40.639751,13,-81.687861,30.494056,30,1332252,1335959.9802768,1333241.48084743,1401289.33864875
JFK,ORD,740,-73.778925,40.639751,13,-87.904842,41.978603,668,1190660,1189168.81302907,1190836.22684972,1339624.42471139
EWR,MYR,550,-74.168667,40.6925,18,-78.928333,33.67975,25,884950,887107.082978443,885267.572706775,919169.871050599
LGA,RDU,431,-73.872608,40.777245,22,-78.787472,35.877639,435,693479,693783.067910279,692906.296345971,734198.341262398
JFK,DTW,509,-73.778925,40.639751,13,-83.353389,42.212444,645,818981,817637.125771257,818696.316371648,918206.438635563
JFK,BWI,184,-73.778925,40.639751,13,-76.668333,39.175361,146,296056,295692.068521701,295745.27763358,324627.044767926
EWR,JAC,1874,-74.168667,40.6925,18,-110.73775,43.607333333,6451,3015266,3010957.47745564,3015373.69298497,3352739.04276166
EWR,RDU,416,-74.168667,40.6925,18,-78.787472,35.877639,435,669344,670712.798840836,669804.443553962,707777.131274534
EWR,DTW,488,-74.168667,40.6925,18,-83.353389,42.212444,645,785192,784354.860198309,785370.224581904,880694.253158567
EWR,SAN,2425,-74.168667,40.6925,18,-117.189667,32.733556,17,3901825,3899397.6884855,3903189.85389539,4422555.22540546
EWR,MDW,711,-74.168667,40.6925,18,-87.752417,41.785972,620,1143999,1142357.5379858,1143973.44013772,1288104.54264594
JFK,HNL,4983,-73.778925,40.639751,13,-157.922428,21.318681,13,8017647,8015698.32681892,8019783.91066045,8938384.12305995
LGA,BNA,764,-73.872608,40.777245,22,-86.678194,36.124472,599,1229276,1229053.46951951,1229748.48582046,1377946.22816459
JFK,AUS,1521,-73.778925,40.639751,13,-97.669889,30.194528,542,2447289,2448196.33263045,2448492.48304912,2757482.61616204
JFK,BTV,266,-73.778925,40.639751,13,-73.153278,44.471861,335,427994,429658.36235684,428772.286266542,429981.232406579
LGA,PHL,96,-73.872608,40.777245,22,-75.241139,39.871944,36,154464,153768.715786639,153726.908966789,165945.350180438
EWR,CLE,404,-74.168667,40.6925,18,-81.849794,41.411689,791,650036,649541.486150671,650443.578051827,733468.102201154
JFK,IAD,228,-73.778925,40.639751,13,-77.455811,38.944533,313,366852,366724.317812831,366843.291782105,404735.854046379
EWR,EGE,1726,-74.168667,40.6925,18,-106.917694,39.642556,6540,2777134,2772118.58423311,2775966.49937233,3126252.66510473
EWR,DCA,199,-74.168667,40.6925,18,-77.037722,38.852083,15,320191,319703.193105221,319621.312962152,346484.977901827
LGA,MDW,725,-73.872608,40.777245,22,-87.752417,41.785972,620,1166525,1165234.42077108,1166894.76089524,1313837.06197996
LGA,SRQ,1047,-73.872608,40.777245,22,-82.554389,27.395444,30,1684623,1688906.87756202,1684657.37283089,1757056.574151
EWR,AVL,583,-74.168667,40.6925,18,-82.541806,35.436194,2165,938047,937806.608354556,937483.232666946,1025072.27943504
JFK,PWM,273,-73.778925,40.639751,13,-70.309281,43.646161,77,439257,440392.829884737,440118.375269019,464182.99165678
EWR,STL,872,-74.168667,40.6925,18,-90.370028,38.748697,618,1403048,1401918.44028132,1403705.81654902,1590100.76771826
EWR,BUF,282,-74.168667,40.6925,18,-78.732167,42.940525,724,453738,453732.443568165,453894.1802308,494360.453526714
EWR,IND,645,-74.168667,40.6925,18,-86.294383,39.717331,797,1037805,1035780.47068707,1037183.59202409,1174581.4963915
EWR,MKE,725,-74.168667,40.6925,18,-87.896583,42.947222,723,1166525,1164771.50801489,1166306.78046178,1304515.7827824
EWR,PWM,284,-74.168667,40.6925,18,-70.309281,43.646161,77,456956,457610.481479076,457430.336433357,485839.864245551
LGA,DCA,214,-73.872608,40.777245,22,-77.037722,38.852083,15,344326,345172.713565734,345120.288701221,375226.99487302
EWR,SAV,708,-74.168667,40.6925,18,-81.202139,32.127583,51,1139172,1141919.00925547,1139810.0106736,1199178.70140651
LGA,CAK,397,-73.872608,40.777245,22,-81.4421944,40.9160833,1228,638773,637415.980330973,638329.162178422,721722.999792126
EWR,SYR,195,-74.168667,40.6925,18,-76.106311,43.111187,421,313755,313453.928548502,313061.850187475,324070.508216157
EWR,CMH,463,-74.168667,40.6925,18,-82.891889,39.997972,815,744967,743818.881819143,744833.213821135,843332.228428027
EWR,ROC,246,-74.168667,40.6925,18,-77.672389,43.118866,559,395814,396437.478678763,396345.949929338,423837.437485065
EWR,BWI,169,-74.168667,40.6925,18,-76.668333,39.175361,146,271921,272097.48038168,272059.712687594,295678.540719988
EWR,BTV,266,-74.168667,40.6925,18,-73.153278,44.471861,335,427994,428859.114876204,428013.239122717,430492.262366743
JFK,HOU,1428,-73.778925,40.639751,13,-95.278889,29.645419,46,2297652,2298657.50165967,2298290.21692256,2573057.3220572
LGA,MSY,1183,-73.872608,40.777245,22,-90.258028,29.993389,4,1903447,1905506.84139291,1904280.84199762,2098655.63510371
LGA,BOS,184,-73.872608,40.777245,22,-71.005181,42.364347,19,296056,297026.558470884,297070.222327132,322088.597186258
JFK,LGB,2465,-73.778925,40.639751,13,-118.151611,33.817722,60,3966185,3962727.70174568,3966959.92962673,4486991.39194417
EWR,DAY,533,-74.168667,40.6925,18,-84.219375,39.902375,1009,857597,857379.740494346,858547.438962644,972182.551984929
EWR,HOU,1411,-74.168667,40.6925,18,-95.278889,29.645419,46,2270299,2271575.21263507,2271120.00225767,2539220.80808388
EWR,ALB,143,-74.168667,40.6925,18,-73.801692,42.748267,285,230087,230868.617208066,230361.884490619,231161.275032061
EWR,BDL,116,-74.168667,40.6925,18,-72.683222,41.938889,173,186644,186208.696211582,186089.151501091,197233.772570995
EWR,SLC,1969,-74.168667,40.6925,18,-111.977772,40.788389,4227,3168121,3163771.02451806,3168288.63284084,3549296.55673669
EWR,PIT,319,-74.168667,40.6925,18,-80.232872,40.491467,1204,513271,513004.499813972,513729.246631692,581635.607379895
EWR,HNL,4963,-74.168667,40.6925,18,-157.922428,21.318681,13,7985467,7982308.30366277,7986353.7694524,8903540.21615456
EWR,MHT,209,-74.168667,40.6925,18,-71.435667,42.932556,266,336281,337006.260517576,336820.088849588,356817.211165795
EWR,MSN,799,-74.168667,40.6925,18,-89.337514,43.139858,887,1285591,1283787.70941843,1285494.32831687,1436930.05955523
EWR,GSO,445,-74.168667,40.6925,18,-79.937306,36.09775,925,716005,717248.768630847,716672.580907006,770625.365053283
LGA,MEM,963,-73.872608,40.777245,22,-89.976667,35.042417,341,1549467,1548667.35485113,1549527.76620119,1741158.34772343
EWR,CVG,569,-74.168667,40.6925,18,-84.667822,39.048836,896,915521,914887.506801824,916003.825506541,1036111.59322823
JFK,BUR,2465,-73.778925,40.639751,13,-118.358667,34.200667,778,3966185,3962818.14200639,3967164.07068129,4484354.98543595
JFK,CLE,425,-73.778925,40.639751,13,-81.849794,41.411689,791,683825,682969.502595209,683915.271594701,771231.370748068
EWR,AUS,1504,-74.168667,40.6925,18,-97.669889,30.194528,542,2419936,2419617.77742517,2419832.8448418,2722377.35762957
EWR,RIC,277,-74.168667,40.6925,18,-77.319667,37.505167,167,445693,447134.417098005,446592.083284465,471572.221146375
JFK,IND,665,-73.778925,40.639751,13,-86.294383,39.717331,797,1069985,1068494.54092696,1069947.63626443,1212003.5964365
LGA,BUF,292,-73.872608,40.777245,22,-78.732167,42.940525,724,469828,469270.74617894,469511.321724675,513584.682211666
JFK,CMH,483,-73.778925,40.639751,13,-82.891889,39.997972,815,777147,776412.588401918,777477.237674051,880597.36415397
EWR,GSP,594,-74.168667,40.6925,18,-82.218889,34.895556,964,955746,957286.423311887,956669.016207463,1038075.17240607
EWR,GRR,605,-74.168667,40.6925,18,-85.522806,42.880833,794,973445,972552.947010564,973773.652082002,1087939.88412866
EWR,MCI,1092,-74.168667,40.6925,18,-94.713905,39.297606,1026,1757028,1754979.43822082,1757356.67962955,1989021.55459138
JFK,BNA,765,-73.778925,40.639751,13,-86.678194,36.124472,599,1230885,1231136.01080797,1231881.06816188,1382614.84675635
JFK,DFW,1391,-73.778925,40.639751,13,-97.037997,32.896828,607,2238119,2237394.36742035,2238650.53148023,2530997.32736306
JFK,CVG,589,-73.778925,40.639751,13,-84.667822,39.048836,896,947701,946715.897837323,947888.239174686,1072861.62985338
LGA,PIT,335,-73.872608,40.777245,22,-80.232872,40.491467,1204,539015,538126.21763014,538884.470537521,609856.729896187
EWR,BNA,748,-74.168667,40.6925,18,-86.678194,36.124472,599,1203532,1202358.34561203,1203028.05095605,1348148.20585458
JFK,PHL,94,-73.778925,40.639751,13,-75.241139,39.871944,36,151246,150783.5536887,150805.298918678,164964.591634053
LGA,MCI,1107,-73.872608,40.777245,22,-94.713905,39.297606,1026,1781163,1779684.31729722,1782094.25612952,2016221.04049785
JFK,DEN,1626,-73.778925,40.639751,13,-104.673178,39.861656,5431,2616234,2612720.52674162,2616367.04091871,2947995.64223254
JFK,EGE,1747,-73.778925,40.639751,13,-106.917694,39.642556,6540,2810923,2805534.57470483,2809426.8706953,3163848.8173022
JFK,ORF,290,-73.778925,40.639751,13,-76.201222,36.894611,26,466610,466867.662845075,465961.323749639,480981.324218449
EWR,SAT,1569,-74.168667,40.6925,18,-98.469778,29.533694,809,2524521,2525235.7013268,2525294.83846741,2841152.41637351
EWR,SDF,642,-74.168667,40.6925,18,-85.7364989,38.1740858,501,1032978,1032458.4730242,1033550.60062741,1167034.56081361
JFK,PDX,2454,-73.778925,40.639751,13,-122.5975,45.588722,30,3948486,3943239.94708667,3949129.27564388,4337986.02847101
EWR,PDX,2434,-74.168667,40.6925,18,-122.5975,45.588722,30,3916306,3910873.23925799,3916722.24369819,4302965.43922755
JFK,SJC,2569,-73.778925,40.639751,13,-121.929022,37.3626,62,4133521,4129404.31762707,4134748.08820895,4638567.40533992
EWR,OMA,1134,-74.168667,40.6925,18,-95.894069,41.303167,984,1824606,1821794.73360451,1824414.91843211,2054799.32426355
JFK,CHS,636,-73.778925,40.639751,13,-80.040528,32.898647,45,1023324,1026147.39099706,1024264.97901203,1075513.90147772
LGA,CRW,444,-73.872608,40.777245,22,-81.593189,38.373147,981,714396,714145.182097718,714717.398728761,800695.325742367
JFK,OAK,2576,-73.778925,40.639751,13,-122.220722,37.721278,9,4144784,4139754.29866193,4145182.44311457,4646038.04657376
JFK,SMF,2521,-73.778925,40.639751,13,-121.590778,38.695417,27,4056289,4051833.54273712,4057316.0821856,4540282.14927124
EWR,TUL,1215,-74.168667,40.6925,18,-95.888111,36.198389,677,1954935,1952957.71950048,1954960.78096185,2215154.03499797
JFK,SAT,1587,-73.778925,40.639751,13,-98.469778,29.533694,809,2553483,2553705.06255457,2553846.26734975,2876243.69688898
EWR,TYS,631,-74.168667,40.6925,18,-83.994028,35.810972,981,1015279,1015415.8948038,1015517.40299792,1124171.6631466
EWR,OKC,1325,-74.168667,40.6925,18,-97.600733,35.393089,1295,2131925,2130029.39336888,2132060.06148685,2416227.04316486
EWR,PVD,160,-74.168667,40.6925,18,-71.420383,41.732581,55,257440,257612.388625739,257789.800322654,284721.690604078
EWR,DSM,1017,-74.168667,40.6925,18,-93.663083,41.533972,958,1636353,1634192.99559245,1636542.58194193,1842940.77665224
LGA,CVG,585,-73.872608,40.777245,22,-84.667822,39.048836,896,941265,940951.320851376,942095.171840688,1065120.40753542
EWR,ORF,284,-74.168667,40.6925,18,-76.201222,36.894611,26,456956,458047.122363758,457057.66610211,468061.762472766
EWR,XNA,1131,-74.168667,40.6925,18,-94.3068111,36.2818694,1287,1819779,1817530.47373308,1819344.70077179,2060288.29721254
LGA,GRR,618,-73.872608,40.777245,22,-85.522806,42.880833,794,994362,993431.919276086,994708.181789064,1111880.87605684
LGA,RIC,292,-73.872608,40.777245,22,-77.319667,37.505167,167,469828,470283.757076319,469772.584113391,497978.542553268
LGA,ROC,254,-73.872608,40.777245,22,-77.672389,43.118866,559,408686,408481.374852108,408475.552411419,439589.493150426
JFK,MEM,964,-73.778925,40.639751,13,-89.976667,35.042417,341,1551076,1551210.01533527,1552119.47683096,1746485.17541475
LGA,TYS,647,-73.872608,40.777245,22,-83.994028,35.810972,981,1041023,1041831.46770063,1041960.25957088,1153881.63168859
LGA,BHM,866,-73.872608,40.777245,22,-86.75355,33.562942,644,1393394,1394190.22374349,1393925.84690814,1540200.50957566
LGA,PWM,269,-73.872608,40.777245,22,-70.309281,43.646161,77,432821,433863.409565153,433653.855471072,459181.141841284
EWR,MSY,1167,-74.168667,40.6925,18,-90.258028,29.993389,4,1877703,1879536.71149621,1878280.5696777,2069115.45879988
EWR,CAE,602,-74.168667,40.6925,18,-81.119528,33.938833,236,968618,970848.210267435,969573.532168624,1032644.68211116
JFK,RIC,288,-73.778925,40.639751,13,-77.319667,37.505167,167,463392,464019.945284789,463576.219289862,493760.013151798
EWR,PHL,80,-74.168667,40.6925,18,-75.241139,39.871944,36,128720,128988.815346005,128916.855129833,137957.555273113
EWR,HDN,1728,-74.168667,40.6925,18,-107.21766,40.481181,6602,2780352,2777317.75240985,2781259.02183929,3125626.14491842
EWR,BZN,1882,-74.168667,40.6925,18,-111.160151,45.777643,4500,3028138,3024956.25275753,3029333.1497781,3342543.72833487
EWR,MTJ,1795,-74.168667,40.6925,18,-107.894242,38.509794,5759,2888155,2885120.82186486,2888969.13676427,3259566.70155117
LGA,EYW,1207,-73.872608,40.777245,22,-81.759556,24.556111,3,1942063,1948969.75420354,1942961.7920331,2001718.4197188
JFK,PSP,2378,-73.778925,40.639751,13,-116.506694,33.829667,477,3826202,3823429.13411781,3827472.87010205,4332526.12060228
LGA,GSO,461,-73.872608,40.777245,22,-79.937306,36.09775,925,741749,741921.99260321,741377.187175348,798721.561100088
LGA,HOU,1428,-73.872608,40.777245,22,-95.278889,29.645419,46,2297652,2298155.74216481,2297727.54929482,2569051.86632965
LGA,JAX,833,-73.872608,40.777245,22,-81.687861,30.494056,30,1340297,1344118.71641633,1341332.93026825,1407201.74930771
LGA,BTV,258,-73.872608,40.777245,22,-73.153278,44.471861,335,415122,415476.607830216,414633.569709058,416104.017478781
LGA,CHS,641,-73.872608,40.777245,22,-80.040528,32.898647,45,1031369,1034305.5303893,1032356.44152127,1081583.56838685
LGA,SAV,722,-73.872608,40.777245,22,-81.202139,32.127583,51,1161698,1164247.84570113,1162170.69674091,1225013.6165646
LGA,SDF,659,-73.872608,40.777245,22,-85.7364989,38.1740858,501,1060331,1058848.45270286,1059966.48935125,1196377.67595115
LGA,IND,660,-73.872608,40.777245,22,-86.294383,39.717331,797,1061940,1061097.11002119,1062531.44832485,1202769.18754929
LGA,DAY,549,-73.872608,40.777245,22,-84.219375,39.902375,1009,883341,882781.988824726,883980.819599932,1000531.66978633
JFK,ACK,199,-73.778925,40.639751,13,-70.060181,41.253053,48,320191,320019.004836032,320424.277579535,360462.139775967
LGA,BGR,378,-73.872608,40.777245,22,-68.828139,44.807444,192,608202,608919.457935336,608665.926822618,643343.063059741
LGA,MSN,812,-73.872608,40.777245,22,-89.337514,43.139858,887,1306508,1304915.05626134,1306674.67816119,1460877.02568039
LGA,ORF,296,-73.872608,40.777245,22,-76.201222,36.894611,26,476264,477001.821652959,476034.737878746,489661.480525739
JFK,IAH,1417,-73.778925,40.639751,13,-95.341442,29.984433,97,2279953,2280443.78062244,2280243.8807662,2555471.5075703
JFK,MCI,1113,-73.778925,40.639751,13,-94.713905,39.297606,1026,1790817,1788059.82881889,1790485.08360299,2026748.38962467
LGA,OMA,1148,-73.872608,40.777245,22,-95.894069,41.303167,984,1847132,1844943.52022801,1847604.27058578,2080352.9180951
LGA,DSM,1031,-73.872608,40.777245,22,-93.663083,41.533972,958,1658879,1657252.5150331,1659643.79835374,1868529.43888223
LGA,GSP,610,-73.872608,40.777245,22,-82.218889,34.895556,964,981490,982562.643379282,981976.107084392,1066827.76186614
JFK,ABQ,1826,-73.778925,40.639751,13,-106.6091944,35.0402222,5355,2938034,2934739.14328551,2937884.24662282,3332025.99987353
LGA,ILM,500,-73.872608,40.777245,22,-77.902569,34.270615,32,804500,806737.422417351,804995.234752976,831374.32663943
LGA,SYR,198,-73.872608,40.777245,22,-76.106311,43.111187,421,318582,318889.762518268,318580.694366724,332743.991646691
JFK,MVY,173,-73.778925,40.639751,13,-70.615278,41.391667,67,278357,278578.413716294,278884.770702514,312111.211756014
LGA,SBN,651,-73.872608,40.777245,22,-86.31725,41.708661,799,1047459,1045881.6368869001,1047367.38316677,1179745.52132384
JFK,STL,892,-73.778925,40.639751,13,-90.370028,38.748697,618,1435228,1434431.2325105,1436270.81284215,1627480.80198954
LGA,LEX,604,-73.872608,40.777245,22,-84.605889,38.0365,979,971836,971527.355919145,972456.437389893,1095198.0178771
EWR,SBN,637,-74.168667,40.6925,18,-86.31725,41.708661,799,1024933,1022938.10180415,1024379.34695839,1153871.74777152
LGA,MHT,195,-73.872608,40.777245,22,-71.435667,42.932556,266,313755,313646.389694695,313430.659418048,330528.959359645
LGA,CAE,617,-73.872608,40.777245,22,-81.119528,33.938833,236,992753,994551.419542487,993309.125810566,1059862.5983949
JFK,JAC,1894,-73.778925,40.639751,13,-110.73775,43.607333333,6451,3047446,3044027.56705682,3048485.50010079,3389270.6201299
JFK,SDF,662,-73.778925,40.639751,13,-85.7364989,38.1740858,501,1065158,1063526.75881631,1064680.26344249,1203251.40753989
LGA,CHO,305,-73.872608,40.777245,22,-78.452861,38.138639,639,490745,491053.789482087,491015.82047668,536357.565066792
JFK,MKE,745,-73.778925,40.639751,13,-87.896583,42.947222,723,1198705,1197960.02215606,1199539.06193244,1341824.22849821
LGA,AVL,599,-73.872608,40.777245,22,-82.541806,35.436194,2165,963791,963601.645001765,963307.832810527,1054281.48698326
JFK,BHM,865,-73.778925,40.639751,13,-86.75355,33.562942,644,1391785,1393178.59705344,1392977.1750827,1542060.51265746
LGA,TVC,655,-73.872608,40.777245,22,-85.582235,44.741445,624,1053895,1052574.66996172,1053531.70712456,1157920.74381889
LGA,MYR,563,-73.872608,40.777245,22,-78.928333,33.67975,25,905867,907910.556617053,906099.600652899,943162.660408518
EWR,TVC,644,-74.168667,40.6925,18,-85.582235,44.741445,624,1036196,1035347.20834399,1036233.49152854,1137541.66830547
EWR,ANC,3370,-74.168667,40.6925,18,-149.996361,61.174361,152,5422330,5415184.38797135,5423283.48885041,5632830.79281484
EWR,LGA,17,-74.168667,40.6925,18,-73.872608,40.777245,22,27353,26695.2881600913,26720.5725276256,29833.3799429514
